K,PTE_PA
0.01,7.74647
0.02,11.1625
0.03,15.9024
0.04,21.7322
0.05,30.5238
0.06,37.9368
0.07,46.8977
0.08,55.6573
0.09,61.727
0.1,66.6273
0.11,71.1977
0.12,73.9723
0.13,75.6396
0.14,76.9605
0.15,77.8005
0.16,77.5403
0.17,77.1865
0.18,75.883
0.19,74.0827
0.2,72.4153
0.21,70.2975
0.22,68.219
0.23,66.0157
0.24,63.7266
0.25,61.6014
0.26,59.257
0.27,57.1217
0.28,54.9194
0.29,52.869
0.3,50.8345
0.31,48.8377
0.32,46.9292
0.33,45.1913
0.34,43.4175
0.35,41.7312
0.36,40.146
0.37,38.6351
0.38,37.168
0.39,35.7685
0.4,34.4431
0.41,33.1918
0.42,31.9763
0.43,30.8139
0.44,29.714
0.45,28.6763
0.46,27.6903
0.47,26.7484
0.48,25.8384
0.49,24.9617
0.5,24.1327
0.51,23.359
0.52,22.596
0.53,21.8774
0.54,21.2
0.55,20.5489
0.56,19.9114
0.57,19.3009
0.58,18.738
0.59,18.1855
0.6,17.6578
0.61,17.1519
0.62,16.6703
0.63,16.2045
0.64,15.7563
0.65,15.3276
0.66,14.9169
0.67,14.5246
0.68,14.1448
0.69,13.7843
0.7,13.4331
0.71,13.0991
0.72,12.775
0.73,12.4628
0.74,12.1669
0.75,11.8771
0.76,11.6015
0.77,11.3355
0.78,11.0801
0.79,10.8339
0.8,10.5969
0.81,10.3668
0.82,10.1456
0.83,9.93375
0.84,9.73048
0.85,9.53649
0.86,9.35117
0.87,9.1709
0.88,8.99716
0.89,8.83433
0.9,8.68115
0.91,8.52952
0.92,8.38936
0.93,8.2491
0.94,8.1254
0.95,8.00921
0.96,7.90279
0.97,7.80233
0.98,7.71122
0.99,7.63048
1,7.56027
