Circuit: * C:\Users\Sameer\Desktop\DFTBA\Projects\Inductive PnD\Simulations\Draft3.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 2.22852e-010 to 6.22285e-009
Heightened Def Con from 4.18431e-008 to 4.39681e-008
Heightened Def Con from 4.40058e-008 to 4.50061e-008
Heightened Def Con from 4.50083e-008 to 5.20083e-008
Heightened Def Con from 6.15943e-008 to 6.75943e-008
Heightened Def Con from 7.08274e-008 to 7.18276e-008
Heightened Def Con from 7.18298e-008 to 7.4346e-008
Heightened Def Con from 7.54102e-008 to 7.57852e-008
Heightened Def Con from 7.59198e-008 to 8.29198e-008
Heightened Def Con from 8.96749e-008 to 9.66749e-008
Heightened Def Con from 1.34105e-007 to 1.37605e-007
Heightened Def Con from 1.43818e-007 to 1.47318e-007
Heightened Def Con from 1.49954e-007 to 1.56954e-007
Heightened Def Con from 1.57253e-007 to 1.63253e-007
Heightened Def Con from 1.92832e-007 to 1.98832e-007
Heightened Def Con from 2.0189e-007 to 2.0789e-007
Heightened Def Con from 2.12027e-007 to 2.14152e-007
Heightened Def Con from 2.14178e-007 to 2.17178e-007
Heightened Def Con from 2.17194e-007 to 2.18194e-007
Heightened Def Con from 2.18196e-007 to 2.27196e-007
Heightened Def Con from 2.37609e-007 to 2.43609e-007
Heightened Def Con from 2.47192e-007 to 2.53192e-007
Heightened Def Con from 2.55989e-007 to 2.61989e-007
Heightened Def Con from 2.71716e-007 to 2.77716e-007
Heightened Def Con from 2.85561e-007 to 2.91561e-007
Heightened Def Con from 2.95031e-007 to 3.03031e-007
Heightened Def Con from 3.05044e-007 to 3.06169e-007
Heightened Def Con from 3.06259e-007 to 3.12259e-007
Heightened Def Con from 3.16585e-007 to 3.22585e-007
Heightened Def Con from 3.25754e-007 to 3.33879e-007
Heightened Def Con from 3.34951e-007 to 3.36076e-007
Heightened Def Con from 3.36153e-007 to 3.44153e-007
Heightened Def Con from 3.48806e-007 to 3.54806e-007
Heightened Def Con from 3.59828e-007 to 3.65828e-007
Heightened Def Con from 3.6896e-007 to 3.7246e-007
Heightened Def Con from 3.76447e-007 to 3.79947e-007
Heightened Def Con from 3.84045e-007 to 3.9117e-007
Heightened Def Con from 3.92686e-007 to 3.98686e-007
Heightened Def Con from 4.00899e-007 to 4.07899e-007
Heightened Def Con from 4.08976e-007 to 4.15976e-007
Heightened Def Con from 4.19011e-007 to 4.20011e-007
Heightened Def Con from 4.20013e-007 to 4.20264e-007
Heightened Def Con from 4.20267e-007 to 4.26267e-007
Heightened Def Con from 4.38269e-007 to 4.47269e-007
Heightened Def Con from 4.4983e-007 to 4.5583e-007
Heightened Def Con from 4.58147e-007 to 4.59147e-007
Heightened Def Con from 4.59149e-007 to 4.62274e-007
Heightened Def Con from 4.62295e-007 to 4.65795e-007
Heightened Def Con from 4.74905e-007 to 4.78405e-007
Heightened Def Con from 4.82492e-007 to 4.83493e-007
Heightened Def Con from 4.83495e-007 to 4.86745e-007
Heightened Def Con from 4.8677e-007 to 4.9377e-007
Heightened Def Con from 4.96436e-007 to 5.02561e-007
Heightened Def Con from 5.03647e-007 to 5.09647e-007
Heightened Def Con from 5.11889e-007 to 5.17889e-007
Heightened Def Con from 5.5044e-007 to 5.51565e-007
Heightened Def Con from 5.51794e-007 to 5.57794e-007
Heightened Def Con from 5.61278e-007 to 5.67403e-007
Heightened Def Con from 5.68363e-007 to 5.74363e-007
Heightened Def Con from 5.77424e-007 to 5.83424e-007
Heightened Def Con from 6.15493e-007 to 6.16868e-007
Heightened Def Con from 6.17158e-007 to 6.20658e-007
Heightened Def Con from 6.27205e-007 to 6.3433e-007
Heightened Def Con from 6.34986e-007 to 6.40986e-007
Heightened Def Con from 6.42506e-007 to 6.48506e-007
Heightened Def Con from 6.56971e-007 to 6.57971e-007
Heightened Def Con from 6.57974e-007 to 6.64974e-007
Heightened Def Con from 6.75903e-007 to 6.85028e-007
Heightened Def Con from 6.86116e-007 to 6.93241e-007
Heightened Def Con from 6.94446e-007 to 7.00696e-007
Heightened Def Con from 7.01791e-007 to 7.02166e-007
Heightened Def Con from 7.02292e-007 to 7.11292e-007
Heightened Def Con from 7.12116e-007 to 7.20116e-007
