*Time 	Charge
0	0
1.953125E-8	-1.47391229221161E-17
2.08121106038202E-8	-1.57367188803006E-17
2.44643735105189E-8	-1.88600187703678E-17
2.6793784873403E-8	-2.09729660113115E-17
2.942440708598E-8	-2.33599764063745E-17
3.09773858038583E-8	-2.4768131375249E-17
3.27094540699789E-8	-2.63393264196952E-17
3.48562523041327E-8	-2.83045222620884E-17
3.68562523041327E-8	-3.02010079067324E-17
3.88562523041327E-8	-3.22200650727555E-17
4.08562523041327E-8	-3.43743921636955E-17
4.46408069061246E-8	-3.88374348525882E-17
5.04881027647976E-8	-4.67747808814662E-17
5.76392891390506E-8	-5.82097131431996E-17
6.44121001398247E-8	-7.07180753078326E-17
7.1656002795332E-8	-8.58053239821841E-17
8.17291821384953E-8	-1.09524643461046E-16
9.4081698693893E-8	-1.42547694172557E-16
1.05430238810395E-7	-1.76247280261003E-16
1.16039406508699E-7	-2.10215260366417E-16
1.26128931367095E-7	-2.44364737469282E-16
1.35251843011509E-7	-2.76546368409471E-16
1.39573502895094E-7	-2.92079501934395E-16
1.41545785252798E-7	-1.76411702233064E-15
1.44045033883574E-7	-9.26546125214606E-15
1.47045033883574E-7	-2.90306709946529E-14
1.48907054224162E-7	-4.74405946853956E-14
1.52172566751516E-7	-9.17259725673199E-14
1.53626498907935E-7	-1.16503471715786E-13
1.54991214027548E-7	-1.42752399565932E-13
1.5841911417641E-7	-2.20769086034412E-13
1.60904142674404E-7	-2.88163597379416E-13
1.64247564368938E-7	-3.92911006836446E-13
1.68851027634525E-7	-5.63445888359067E-13
1.71116411190786E-7	-6.57874046670677E-13
1.72881654093015E-7	-7.36084967255966E-13
1.75824607242909E-7	-8.75435983311491E-13
1.76955570414593E-7	-9.3148738149153E-13
1.78955570414593E-7	-1.03492556527979E-12
1.80955570414593E-7	-1.143103653172E-12
1.84955570414593E-7	-1.37284691325711E-12
1.9171202939839E-7	-1.79750984619045E-12
2.01683768105771E-7	-2.50096819076122E-12
2.1514163744038E-7	-3.57039677307919E-12
2.38152726924794E-7	-5.64107155470095E-12
2.57859243413204E-7	-7.59774079527204E-12
2.84992442981889E-7	-1.04830473682304E-11
3.13019874464669E-7	-1.36291620993406E-11
3.448473024704E-7	-1.73327678990748E-11
3.86917477427961E-7	-2.23551110032998E-11
4.32389590214076E-7	-2.78678756385534E-11
4.72354543503324E-7	-3.27418560561272E-11
5.06596307349031E-7	-3.69228741517341E-11
5.36166169120783E-7	-4.05300078899092E-11
5.62217115489115E-7	-4.37014673377744E-11
5.86457008561729E-7	-4.66560574572493E-11
6.16307482407395E-7	-5.02809755097907E-11
6.55437640467021E-7	-5.50295757810967E-11
7.09835838627309E-7	-6.16087121714383E-11
7.86343590346508E-7	-7.08246478338927E-11
8.94729667067676E-7	-8.38139495143675E-11
1.05546691520195E-6	-1.02910254959096E-10
1.3221165635566E-6	-1.34191164591285E-10
1.79231660199741E-6	-1.88175798150431E-10
2.48210280489252E-6	-2.64676247551688E-10
3.55051225888045E-6	-3.77192315269376E-10
5.19761347003896E-6	-5.37289277939447E-10
7.06420195031245E-6	-7.01731462008299E-10
7.53084907038083E-6	-7.40182633543429E-10
8.46414331051757E-6	-8.14257977423086E-10
9.5759351616864E-6	-8.97179293020513E-10
1.07927503076277E-5	-9.81719203120893E-10
1.28760644029217E-5	-1.11339739823605E-9
1.58427695560526E-5	-1.28213013832946E-9
1.84559269797768E-5	-1.41565537889538E-9
2.15650420466849E-5	-1.55426826358255E-9
2.60301815471457E-5	-1.72260893079664E-9
2.92583211944095E-5	-1.82672621697663E-9
3.13281419913708E-5	-1.88750816262008E-9
3.34310144146675E-5	-1.94514451380866E-9
3.54031197476814E-5	-1.99607592702866E-9
3.61740545152432E-5	-2.01523984795211E-9
3.65517181630687E-5	-2.02447982044867E-9
3.73070454587198E-5	-2.04276094579733E-9
3.73668512532865E-5	-2.0441996365566E-9
3.748646284242E-5	-2.04705942768441E-9
3.74949620679133E-5	-2.04726174322502E-9
3.75068680030757E-5	-2.04754495290725E-9
3.75191912699871E-5	-2.04783818205648E-9
3.75303450214931E-5	-2.04810350454772E-9
3.75375577401221E-5	-2.04827497040732E-9
3.7543188801146E-5	-2.04840877680981E-9
3.75492296501116E-5	-2.04855226299039E-9
3.75571724690968E-5	-2.04874083513232E-9
3.75645565402883E-5	-2.04891612636839E-9
3.75715726765068E-5	-2.04908286122127E-9
3.75769027028345E-5	-2.04920946711267E-9
3.75800929843902E-5	-2.04928523082895E-9
3.75813545201522E-5	-2.04931518648158E-9
3.7583473990537E-5	-2.04936550908934E-9
3.75855735135315E-5	-2.04941535159875E-9
3.75886384561494E-5	-2.04948810096782E-9
3.75947683413853E-5	-2.04963355452066E-9
3.75994923539954E-5	-2.04974560672055E-9
3.76044085008126E-5	-2.04986217727674E-9
3.76128517549547E-5	-2.05006228840642E-9
3.76216045465763E-5	-2.05026961060248E-9
3.76342887215358E-5	-2.0505698258852E-9
3.76515756116E-5	-2.05097854653945E-9
3.76769976229209E-5	-2.05158045697004E-9
3.77050150999106E-5	-2.05224484120701E-9
